"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2013","2013",,,"0","Units",,,1,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2013","2013",,,"0","Units",,,52513,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2013","2013",,,"0","Units",,,227.2,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2001","2001",,,"0","Units",,,70,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2001","2001",,,"0","Units",,,0.9,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2001","2001",,,"0","Units",,,5740,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2001","2001",,,"0","Units",,,71.4,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2002","2002",,,"0","Units",,,65,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2002","2002",,,"0","Units",,,0.8,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2002","2002",,,"0","Units",,,5489,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2002","2002",,,"0","Units",,,67.9,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2003","2003",,,"0","Units",,,50,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2003","2003",,,"0","Units",,,0.6,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2003","2003",,,"0","Units",,,7720,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2003","2003",,,"0","Units",,,95.1,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2004","2004",,,"0","Units",,,59,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2004","2004",,,"0","Units",,,0.7,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2004","2004",,,"0","Units",,,8156,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2004","2004",,,"0","Units",,,99.8,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2005","2005",,,"0","Units",,,54,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2005","2005",,,"0","Units",,,0.7,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2005","2005",,,"0","Units",,,11089,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2005","2005",,,"0","Units",,,134.8,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2006","2006",,,"0","Units",,,61,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2006","2006",,,"0","Units",,,0.7,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2006","2006",,,"0","Units",,,8959,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2006","2006",,,"0","Units",,,108.3,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2007","2007",,,"0","Units",,,45,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2007","2007",,,"0","Units",,,0.5,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2007","2007",,,"0","Units",,,7802,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2007","2007",,,"0","Units",,,94.1,,
